country,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NY.GNP.PCAP.CD,IT.NET.USER.ZS,SH.IMM.IDPT,SH.STA.MMRT,SH.XPD.CHEX.GD.ZS,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.DYN.TFRT.IN,IT.NET.SECR.P6,SP.URB.TOTL.IN.ZS,SL.EMP.VULN.ZS,SP.POP.DPND,SP.POP.GROW,EN.ATM.PM25.MC.M3,EN.GHG.ALL.PC.CE.AR5
Georgia,2.45271178113926,18.8799548618776,8.811354229965728,81.88425624,88,2.995732273553991,6.8575887699999996,2.028148247292285,74.496,1.81,8.566327505917343,60.7523077799724,43.5648041038313,57.1296262620538,0.0802640328443946,2.9216102034906655,1.6657111386250367
Ghana,4.576359774489053,29.466622381614,7.745002803515839,70.67430115,95,5.455321115357702,2.94686937,3.3463891451671604,65.498,3.397,3.8743899426393758,57.8074737774654,60.651477788433,66.1425812587668,1.90860289687983,3.3373200209140723,0.3262606920422125
Guinea,5.428760426220925,25.7306393241004,7.200424892944957,32.31560135,60,6.202535517187923,3.69442987,4.117409835153096,60.74,4.217,2.3496719800869816,37.6454083954705,79.7496015595189,80.7795140106788,2.46199049961035,3.3055668486060807,0.686326693797649
"Gambia, The",4.694420797395265,16.4224206550964,6.76849321164863,48.72829819,84,5.869296913133774,2.89250112,3.517497837358316,65.86,4.006,3.956306584205852,63.8020182456108,64.1418019599239,77.6473477794781,2.30124049704572,3.6445402303150636,-0.3813842366479776
Guinea-Bissau,6.06670011726797,15.4120002197218,6.877296071497429,28.71240044,74,6.22455842927536,8.82204819,3.7704594411063592,64.085,3.836,1.8720376689133724,45.5923843383789,75.3766530817951,73.5656689085059,2.24529187264064,3.474817485744471,0.38000176717391454
Equatorial Guinea,1.6640499565177542,48.2938369793055,8.737131611781498,63.51950073,74,5.159055299214529,3.49941635,3.8958936234982624,63.707,4.081,3.7805892588564594,71.1290664883517,22.6366946432979,69.80165670554,2.41057232825781,3.7429131154586215,1.4624141345925128
Greece,1.934481889053715,14.8477611524462,10.01234195744821,85.0102229,95,1.6094379124341003,8.39367008,1.1939224684724346,81.7365853658537,1.26,9.562914523300627,78.7746303842088,23.6681730294069,58.9062451092587,-0.292192792101549,2.6474976116473656,1.9144894321001331
Grenada,1.7628978630578744,14.783570238864,9.22029070282935,69.4131012,86,3.871201010907891,4.65330839,2.8154087194227095,75.205,1.487,6.42155539504255,36.462128238584,22.2095930893385,46.4482719801869,0.143593450145476,2.4007587109453814,0.6907442479984303
Guatemala,3.1019201805782366,22.3147364045658,8.607033895416027,56.72669983,88,4.543294782270004,6.80241346,2.8735646395797834,72.602,2.311,4.6930636828328005,55.6082319565539,36.6134557678145,58.4095417496558,1.53986971917384,3.3904490347441976,0.8637517230115402
Guyana,3.12147732796675,69.3012460921421,9.785266921148697,79.3553009,98,4.31748811353631,2.46673751,3.1780538303479458,70.18,2.412,4.6215500348222625,26.4651457279878,26.708694771481,55.7699884070538,0.57233513230005,2.830045154368692,2.340866205781317
"Hong Kong SAR, China",0.19477580941808353,6.28208009499498,10.912722030053022,95.97781908,94,2.0794415416798357,8.84301376,1.2237754316221157,85.2473170731707,0.751,11.784683123414476,100,6.18938579228576,47.8071542342089,2.55352466697343,2.1503162328633714,1.6624193817739723
Honduras,3.461039560690285,25.824819269639,7.962067308753666,58.0685997,73,3.8501476017100584,7.70976162,2.580216829592325,72.884,2.5,4.928621419535733,58.3132392705102,34.3721389715693,54.5329302016737,1.71477388415816,3.4248780018086276,0.8038611006359591
